종목코드,종목명,상장일,거래소,종가,시가총액
900250,크리스탈신소재,2016-01-28,KQ,1635,109470920980
045520,크린앤사이언스,2000-12-05,KQ,19900,129350000000
214150,클래시스,2015-04-03,KQ,21450,1394648419200
237880,클리오,2016-11-09,KQ,21950,381776613400
079970,투비소프트,2010-06-01,KQ,2040,75405415320
084730,팅크웨어,2006-05-19,KQ,17950,185577139600
214450,파마리서치,2015-07-24,KQ,88200,892883419000
027710,팜스토리,1996-07-06,KQ,2760,309181065000
318020,포인트모바일,2020-12-03,KQ,18700,236784486400
041020,폴라리스오피스,2005-10-28,KQ,2935,117509476500
290720,푸드나무,2018-10-04,KQ,39500,269178644700
128660,피제이메탈,2010-12-13,KQ,5140,127489316660
376180,피코그램,2021-11-03,KQ,17100,51587589300
041460,한국전자인증,2010-11-19,KQ,8680,165110000000
021650,한국큐빅,2003-01-24,KQ,4325,70552679345
030520,한글과컴퓨터,1996-09-24,KQ,19700,499035834000
256150,한독크린텍,2019-09-05,KQ,12700,106171450000
043090,한주케미칼앤홀딩스,2001-10-11,KQ,2135,80035315200
002680,한탑,1995-07-07,KQ,1335,37881783920
066110,한프,2002-07-16,KQ,1130,86834027360
034810,해성산업,1999-04-16,KQ,14000,368988172000
041440,현대에버다임,2003-11-14,KQ,5920,105166591280
064240,홈캐스트,2003-06-11,KQ,3020,99615215560
200670,휴메딕스,2014-12-26,KQ,26300,261245282800
084110,휴온스글로벌,2006-12-19,KQ,45150,539558461650
263920,휴온스블러썸,2017-09-28,KQ,4555,223400585370
024060,흥구석유,1994-12-07,KQ,7620,114600000000
027410,BGF,2014-05-19,KS,5800,555157387800
000590,CS홀딩스,1975-12-22,KS,64800,74348640800
012030,DB,1993-01-06,KS,1025,207209150990
017940,E1,1997-08-27,KS,52800,360836000000
383220,F&F,2021-05-21,KS,892000,6749706615000
009440,KC그린홀딩스,1994-11-05,KS,5130,115091447400
032640,LG유플러스,2008-04-21,KS,14350,6265373030350
383800,LX홀딩스,2021-05-27,KS,8900,678135334100
005090,SGC에너지,1993-01-06,KS,47600,698625390400
003570,SNT중공업,1976-07-08,KS,9180,304927231490
036530,SNT홀딩스,2002-10-22,KS,18250,295100336600
077970,STX엔진,2004-05-10,KS,11600,266903286400
267290,경동도시가스,2017-05-12,KS,23200,136773419200
000050,경방,1956-03-03,KS,13800,378330726000
002240,고려제강,1976-05-25,KS,26500,596850000000
009290,광동제약,1989-11-17,KS,7690,405737386740
037710,광주신세계,2002-02-07,KS,186000,296800000000
339770,교촌에프앤비,2020-11-12,KS,17750,444689212000
001140,국보,1989-12-02,KS,2145,131596240855
008870,금비,1990-06-08,KS,69300,68900000000
004370,농심,1976-06-30,KS,281000,1706181081000
006570,대림통상,1975-11-20,KS,3735,56865375000
003540,대신증권,1975-10-01,KS,20350,1033238690000
006340,대원전선,1988-05-04,KS,2070,147715291360
024890,대원화성,1997-10-28,KS,5160,214083098880
002880,대유에이텍,1977-02-18,KS,1670,188486757245
005960,동부건설,1978-10-30,KS,14700,334156416300
002210,동성제약,1990-01-19,KS,8870,231254594200
170900,동아에스티,2013-04-08,KS,74500,629933366200
084670,동양고속,2005-07-25,KS,20950,60662170550
030720,동원수산,1996-11-22,KS,9870,45839979250
002690,동일제강,2015-09-24,KS,3375,50700000000
023530,롯데쇼핑,2006-02-09,KS,105500,2984463652500
000060,메리츠화재,1956-07-02,KS,29450,3564468750000
085620,미래에셋생명,2015-07-08,KS,4290,763824855535
268280,미원에스씨,2017-05-22,KS,214500,1099050000000
010140,삼성중공업,1994-01-28,KS,5960,3754800000000
000070,삼양홀딩스,1968-12-27,KS,105500,912094861500
002450,삼익악기,1988-09-30,KS,1795,162502992425
004690,삼천리,1976-12-23,KS,93300,378739335000
000180,성창기업지주,1976-06-02,KS,2540,176820306000
091090,세원이앤씨,2006-07-31,KS,1130,166609054195
033530,세종공업,2002-09-25,KS,10450,290729042450
134790,시디즈,2011-01-25,KS,66800,132400000000
001780,알루코,2007-06-07,KS,3890,350185804800
161000,애경유화,2012-09-17,KS,13200,422928000000
138250,엔에스쇼핑,2015-03-27,KS,13450,454896000000
002920,유성기업,1988-10-10,KS,3335,86664650000
