종목코드,종목명,거래소,종가,시가총액,R1D,R1W,R1M,R3M,R6M,R1Y,PER,PBR,DIV
371130,KINDEX 블룸버그베트남VN30선물레버리지(H),ETF,22775,20500000000,0.24207746478872583,-2.2112494632889668,3.2177656922728337,17.761116856256454,8.297669995244883,126.50422675285928,,,
368680,KODEX Fn K-뉴딜디지털플러스,ETF,11955,20300000000,-0.4993757802746579,-2.6069246435845184,-2.208588957055213,-10.982874162323153,-5.344418052256527,10.296152781621926,,,
152380,KODEX 국채선물10년,ETF,69100,20300000000,-0.18777986422071624,1.2825210699890066,2.415888543056166,-2.1177137191019213,0.38497857194741414,-3.2619347613047744,,,
278620,ARIRANG 단기채권액티브,ETF,106015,20000000000,0.014150943396229465,0.08496577767287405,0.198478332782015,-0.037716279289046195,-0.04242881387893638,0.3217411876035081,,,
221610,자안바이오,KQ,2995,19931117015,,,,,,,0.0,0.26,0.0
053110,소리바다,KQ,3960,19563782040,,,,,,,0.0,11.0,0.0
153270,KOSEF 코스피100,ETF,29495,19500000000,1.6017912504305842,-0.43881856540084474,0.35726437563796676,-5.282594733461787,-9.329849369812482,12.18667985242099,,,
078650,지나인제약,KQ,5170,19332155150,2.9880478087649376,-23.746312684365776,1443.2835820895523,767.4496644295302,122.84482758620689,465.02732240437155,0.0,0.86,0.0
363260,하나금융17호스팩,KQ,2810,19136100000,,,,,,,0.0,0.0,0.0
117460,KODEX 에너지화학,ETF,18170,19100000000,0.2759381898454816,-3.4281158650013244,-7.743082000507739,-6.146694214876036,-7.0825875735106125,15.931857334269118,,,
352560,KODEX 다우존스미국리츠(H),ETF,14520,18900000000,-1.792357118701382,-5.004906771344453,-3.200000000000003,-0.27472527472527375,7.515734912995198,28.098808998676674,,,
407830,에셋플러스 글로벌플랫폼액티브,ETF,9430,18900000000,-5.178481649069888,-5.511022044088176,,,,,,,
141020,포티스,KQ,108,18839533608,,,,,,,0.0,0.26,0.0
138910,KODEX 구리선물(H),ETF,7835,18800000000,-1.693851944792979,-5.259975816203144,-3.0321782178217793,-1.9399249061326618,-8.842350203606753,26.882591093117412,,,
143460,KINDEX 밸류대형,ETF,9325,18700000000,1.3586956521739024,-1.5311510031678965,-1.4791336502905428,-3.71708828084667,-9.728944820909968,17.60625551771977,,,
238720,KINDEX 일본Nikkei225(H),ETF,18215,18200000000,-1.139755766621442,-6.349614395886894,-6.204943357363546,0.1649711300522494,-3.4711181770005317,5.410879629629628,,,
337150,KODEX 200exTOP,ETF,13010,18200000000,,,,,,,,,
292730,FOCUS KRX300,ETF,18140,18100000000,1.0303536619326037,-1.305767138193692,0.027570995312919955,-5.199895479487848,-7.731434384537128,13.318340829585207,,,
103230,에스앤더블류,KQ,2505,18036000000,,,,,,,28.796875,0.45,0.0
407820,에셋플러스 코리아플랫폼액티브,ETF,9990,18000000000,1.1645569620253093,-3.338171262699563,,,,,,,
306950,KODEX KRX300레버리지,ETF,17960,18000000000,1.8429259994329428,-2.8401406545847996,-1.2372834753918038,-11.177052423343225,-16.67826490373463,22.887444406431754,,,
140710,KODEX 운송,ETF,5495,17600000000,2.9990627928772273,0.09107468123861207,-6.627017841971117,-22.44177840508116,-24.51923076923077,19.249131944444443,,,
227570,TIGER 우량가치,ETF,11515,17600000000,2.2646536412078255,-3.1131678586453493,-7.990411506192574,-8.683584456780336,-11.18395680678751,20.261096605744132,,,
289040,KODEX MSCI KOREA ESG유니버설,ETF,11680,17500000000,1.3449023861171305,-1.1426153195090993,-0.08554319931565191,-5.271695052716952,-8.750000000000002,13.696096563808036,,,
140700,KODEX 보험,ETF,6355,17200000000,2.41740531829171,-3.0511060259344025,-6.95461200585652,-3.7850113550340625,-3.0511060259344025,16.626904019086062,,,
377630,삼성스팩4호,KQ,4155,16703100000,2.7194066749072876,-11.689691817215731,-26.46017699115044,-40.47277936962751,-58.86138613861387,,0.0,0.0,0.0
