종목코드,종목명,거래소,종가,시가총액,R1D,R1W,R1M,R3M,R6M,R1Y,PER,PBR,DIV
047820,초록뱀미디어,KQ,2820,609649345935,-0.7042253521126751,-10.476190476190473,-10.476190476190473,14.401622718052742,14.401622718052742,39.6039603960396,0.0,3.63,0.0
003070,코오롱글로벌,KS,23950,605050512000,0.41928721174004924,4.585152838427953,2.569593147751603,-10.299625468164797,-3.427419354838712,26.05263157894737,7.37109375,1.29,1.67
065660,안트로젠,KQ,64000,604882449000,2.2364217252396124,0.47095761381474865,10.726643598615926,-1.6897081413210446,-4.619970193740686,-2.1406727828746197,0.0,7.18,0.0
003280,흥아해운,KS,2525,604668620985,-3.809523809523807,-7.339449541284404,-12.326388888888884,-16.11295681063123,62.37942122186495,62.37942122186495,0.0,0.0,0.0
950130,엑세스바이오,KQ,16550,604653524550,1.2232415902140747,0.6079027355623046,-5.698005698005693,0.9146341463414531,-45.19867549668874,-23.02325581395349,,,
115390,락앤락,KS,11750,603139843800,-0.4237288135593209,-3.292181069958844,7.30593607305936,9.302325581395344,-16.07142857142857,16.336633663366328,53.65625,0.94,0.0
286940,롯데정보통신,KS,39050,602766358650,-0.6361323155216314,7.280219780219777,10.9375,8.774373259052926,-4.523227383863082,-5.903614457831329,19.765625,1.45,1.79
005610,SPC삼립,KS,69700,602304828200,-0.7122507122507171,-1.8309859154929553,-3.4626038781163437,-9.597924773022049,-18.288393903868695,-0.8534850640113834,0.0,1.98,1.58
330860,네패스아크,KQ,49550,598845811750,-2.843137254901962,-7.209737827715356,0.5070993914807254,10.479375696767,1.122448979591839,-7.383177570093458,0.0,3.71,0.0
020120,키다리스튜디오,KS,17900,596765092800,4.069767441860472,9.480122324159023,13.650793650793647,19.333333333333336,13.291139240506332,71.29186602870814,0.0,12.19,0.0
001820,삼화콘덴서,KS,57300,594594000000,-1.546391752577314,-5.289256198347103,3.992740471869327,2.321428571428563,-6.67752442996743,-17.19653179190751,25.21875,3.43,0.52
108670,LX하우시스,KS,66400,593659754000,0.15082956259426794,6.240000000000001,6.240000000000001,-12.285336856010565,-38.80184331797235,-15.628970775095297,0.0,0.79,0.45
170900,동아에스티,KS,70100,592067754500,-0.2844950213371278,-1.54494382022472,-2.5034770514603566,-4.884667571234735,-18.959537572254337,-24.54251883745964,21.8125,0.92,1.43
088800,에이스테크,KQ,13450,588082433450,-2.8880866425992746,-9.427609427609429,-7.241379310344831,-7.560137457044669,-27.297297297297295,-50.912408759124084,0.0,8.58,0.0
049070,인탑스,KQ,34150,587380000000,-4.741980474198049,5.238828967642517,25.551470588235304,51.44124168514412,11.23778501628665,15.371621621621623,14.421875,1.26,0.73
102460,이연제약,KS,32650,586753610200,-2.5373134328358193,-11.397557666214386,-15.850515463917525,-22.076372315035798,-51.413690476190474,49.42791762013729,144.5,2.54,0.61
071840,롯데하이마트,KS,24800,586651643200,-1.9762845849802368,-0.8000000000000007,-4.24710424710425,-12.522045855379194,-30.822873082287305,-19.218241042345273,20.375,0.3,4.84
039840,디오,KQ,36750,586015579350,-2.39043824701195,-2.777777777777779,-2.9062087186261576,-13.120567375886527,-9.815950920245397,17.599999999999994,48.40625,3.56,0.0
060720,KH바텍,KQ,24700,583648945300,-3.32681017612525,-7.663551401869162,0.6109979633401208,10.514541387024611,14.883720930232558,22.88557213930349,0.0,3.32,0.0
069660,KOSEF 200,ETF,39160,581500000000,-0.7728366907386319,-2.014262479669715,-1.6821491338187333,0.6942658781177613,-10.959527057753526,-1.6969575258560132,,,
038500,삼표시멘트,KQ,5370,580589726280,0.561797752808979,13.771186440677962,15.982721382289423,15.23605150214593,-10.648918469217971,34.75533249686325,41.9375,0.9,1.4
007690,국도화학,KS,64300,578481547200,2.8799999999999937,13.805309734513283,10.102739726027398,-8.273894436519258,3.8772213247172838,55.137886939947414,15.4375,0.89,1.87
106240,파인테크닉스,KQ,12900,578462323200,1.976284584980248,-4.444444444444439,11.688311688311682,33.402275077559466,47.59725400457666,171.86512118018967,102.375,9.17,0.0
001720,신영증권,KS,61500,577253575500,0.4901960784313708,1.990049751243772,3.8851351351351315,-3.149606299212604,-5.0925925925925934,15.601503759398504,2.740234375,0.76,6.5
