종목코드,종목명,거래소,종가,시가총액,R1D,R1W,R1M,R3M,R6M,R1Y,V1D,V1W,V1M,V3M,V6M,V1Y,PER,PBR,DIV
005420,코스모화학,KS,16700,465562112750,-0.5952380952380931,-9.72972972972973,-8.241758241758246,34.13654618473896,35.77235772357723,94.1860465116279,35.159755507084256,36.18647113502105,50.64217290786212,75.33264955332841,60.70839653178721,61.9177840719492,0.0,3.54,0.0
161000,애경유화,KS,14600,464580000000,1.7421602787456525,-4.575163398692805,0.0,22.68907563025211,2.4561403508772006,99.18144611186904,19.327659515175416,29.390951969704126,63.20972418038554,58.35909745809463,50.121930579782976,49.29206156464282,10.3828125,1.19,2.4
094800,맵스리얼티1,KS,5010,464171655000,0.7035175879396949,2.244897959183678,5.919661733615222,7.974137931034475,8.324324324324328,25.093632958801493,9.938512075712904,5.723767626334944,7.579725251114293,7.318953893183793,12.470467940129028,12.191185922047868,,,
065350,신성델타테크,KQ,16800,461730326400,2.4390243902439046,-6.666666666666665,-4.545454545454541,0.5988023952095745,67.16417910447761,174.06199021207178,38.507196736360015,42.72391892115457,71.30366565225832,74.18276759914792,66.41636321120886,77.19764736278226,49.40625,3.21,0.6
029960,코엔텍,KQ,9230,461500000000,0.6543075245365237,-1.4941302027748127,3.5914702581369307,-3.147953830010497,0.7641921397379958,8.588235294117652,7.583964545862485,15.87038793178047,15.930741070116268,16.382613656947797,15.604768796635554,17.517511584638346,17.984375,3.05,5.53
000020,동화약품,KS,16400,460869255000,1.5479876160990669,-4.927536231884055,-7.86516853932584,10.81081081081081,5.128205128205132,-23.004694835680752,30.569775229625986,55.75665601097707,103.7029762775741,73.9710688665122,55.977232614358364,57.600308364985445,15.8828125,1.38,1.1
357120,코람코에너지리츠,KS,6600,459492000000,0.6097560975609762,1.6949152542372836,5.263157894736836,7.667210440456773,19.34900542495479,34.419551934826885,5.984512832899947,4.97094554442112,10.739087439036327,10.853451949775142,13.424534512686598,11.186783867088714,,,
160550,NEW,KQ,16600,459055443700,5.73248407643312,8.496732026143782,47.55555555555555,52.995391705069125,28.682170542635667,322.9299363057325,75.2047662601681,116.21263116626199,87.85959240942753,64.24891198730745,59.92705197761313,66.53086115351043,0.0,4.4,0.0
348150,고바이오랩,KQ,28150,458829763800,5.827067669172936,0.8960573476702427,-3.7606837606837584,-16.838995568685377,-16.220238095238095,,46.644976911601844,52.33363834255889,55.55025741272765,47.517745974571966,45.01850511091256,75.99035156695962,0.0,7.89,0.0
225570,넷게임즈,KQ,15800,458730375300,3.60655737704918,9.342560553633227,29.508196721311485,26.400000000000002,11.660777385159005,101.0178117048346,35.493779165051784,22.06177789637335,68.75871128196503,50.16721224701959,51.136158649605335,63.895023373469634,17.25,6.86,0.0
